timestamp,frame_id,INDEX_MCP,INDEX_PIP,INDEX_DIP,INDEX_ABD,INDEX_TAM,MIDDLE_MCP,MIDDLE_PIP,MIDDLE_DIP,MIDDLE_ABD,MIDDLE_TAM,RING_MCP,RING_PIP,RING_DIP,RING_ABD,RING_TAM,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_ABD,PINKY_TAM,THUMB_MCP,THUMB_IP
2026-05-22T10:05:44.117,222,13.68,16.46,18.06,8.79,48.2,7.98,11.71,15.94,0.0,35.63,6.27,3.68,15.89,7.84,25.84,-7.71,-2.92,6.6,16.56,-4.02,13.25,13.2
2026-05-22T10:05:44.149,223,13.78,15.27,15.06,4.07,44.11,8.24,11.34,13.04,0.0,32.62,6.32,4.95,12.65,3.63,23.92,-7.51,-0.55,5.7,7.52,-2.35,13.06,12.31
2026-05-22T10:05:44.197,224,13.85,14.75,13.8,4.66,42.4,8.45,11.19,11.7,0.0,31.33,6.47,5.27,11.09,1.79,22.83,-5.3,0.37,4.39,8.56,-0.53,13.17,11.89
2026-05-22T10:05:44.228,225,13.8,13.96,12.58,3.27,40.33,8.5,10.79,10.44,0.0,29.74,6.48,5.36,9.72,0.24,21.56,-3.41,1.2,3.15,5.97,0.94,13.31,11.25
2026-05-22T10:05:44.263,226,13.67,13.1,11.4,1.54,38.17,8.47,10.22,9.22,0.0,27.92,6.35,5.31,8.49,-1.11,20.15,-1.84,2.01,2.09,2.81,2.26,13.43,10.25
2026-05-22T10:05:44.307,227,13.5,12.21,10.3,1.49,36.01,8.38,9.6,8.08,0.0,26.06,6.18,5.18,7.43,-0.91,18.79,-0.43,2.73,1.13,2.68,3.43,13.49,8.93
2026-05-22T10:05:44.340,228,13.29,11.32,9.3,2.16,33.91,8.22,8.94,7.03,0.0,24.2,5.95,4.95,6.09,-0.05,16.99,0.75,3.26,0.29,3.84,4.3,13.6,7.46
2026-05-22T10:05:44.386,229,13.03,10.45,8.39,3.11,31.88,8.02,8.29,6.1,0.0,22.42,5.67,4.65,4.73,-0.3,15.05,1.69,3.67,-0.45,5.52,4.92,13.72,6.03
2026-05-22T10:05:44.420,230,12.72,9.64,7.62,2.53,29.99,7.78,7.67,5.3,0.0,20.75,5.37,4.3,3.44,-1.07,13.12,2.46,3.98,-1.09,4.48,5.35,13.83,4.88
2026-05-22T10:05:44.466,231,12.44,8.88,6.95,1.22,28.28,7.51,7.1,4.62,0.0,19.23,5.12,3.96,2.27,-2.05,11.35,3.06,4.2,-1.63,2.16,5.63,13.88,4.06
2026-05-22T10:05:44.502,232,12.21,8.18,6.39,-0.35,26.79,7.24,6.57,4.05,0.0,17.86,4.88,3.59,1.27,-3.07,9.74,3.54,4.33,-2.08,-0.62,5.79,13.95,3.42
2026-05-22T10:05:44.534,233,12.04,7.59,5.96,-0.31,25.6,6.97,6.17,3.6,0.0,16.74,4.7,3.24,0.43,-2.64,8.37,3.88,4.36,-2.43,-0.54,5.81,13.88,2.9
2026-05-22T10:05:44.566,234,11.94,7.06,5.56,-1.08,24.57,6.76,5.82,3.23,0.0,15.82,4.57,2.89,-0.29,-2.9,7.17,4.14,4.32,-2.73,0.99,5.73,13.79,2.3
2026-05-22T10:05:44.616,235,11.82,6.63,5.25,-0.56,23.7,6.54,5.53,2.93,0.0,15.0,4.42,2.58,-0.88,-2.1,6.13,4.27,4.24,-2.99,3.15,5.53,13.59,1.61
2026-05-22T10:05:44.660,236,11.72,6.29,4.98,0.58,22.99,6.35,5.3,2.69,0.0,14.34,4.29,2.34,-1.36,-0.83,5.27,4.34,4.15,-3.21,5.45,5.29,13.32,1.23
2026-05-22T10:05:44.694,237,11.55,6.06,4.76,0.29,22.38,6.14,5.11,2.5,0.0,13.76,3.61,2.18,-1.75,-0.8,4.04,4.34,4.06,-3.4,4.73,5.0,13.11,0.79
2026-05-22T10:05:44.726,238,11.44,5.89,4.57,-0.71,21.9,5.97,4.94,2.34,0.0,13.26,3.22,2.07,-2.04,-1.41,3.25,4.31,3.96,-3.56,5.42,4.71,12.96,0.19
2026-05-22T10:05:44.772,239,11.34,5.74,4.41,-1.99,21.5,5.83,4.8,2.19,0.0,12.82,2.99,2.02,-2.26,-2.3,2.75,4.22,3.84,-3.66,3.89,4.4,12.78,-0.63
2026-05-22T10:05:44.815,240,11.23,5.61,4.25,-1.67,21.09,5.72,4.66,2.07,0.0,12.44,2.85,1.99,-2.41,-3.25,2.43,4.07,3.71,-3.71,4.23,4.07,12.56,-1.89
